lad_code,lad_name,stp_code,stp_name,itl3_code,itl3_name,itl2_code,itl2_name,itl1_code,itl1_name,n_lsoa,mean_imd_score,median_imd_score,mean_lsoa_imd_decile,lad_imd_rank,lad_imd_decile
E07000038,North East Derbyshire,E54000012,Joined Up Care Derbyshire,TLF12,East Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),63,17.187698412698413,14.27,6.238095238095238,173,6
E07000039,South Derbyshire,E54000012,Joined Up Care Derbyshire,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),58,14.5235,11.7615,6.862068965517241,212,7
E07000040,East Devon,E54000037,Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),81,12.706506172839505,11.881,7.197530864197531,240,8
E07000041,Exeter,E54000037,Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),74,16.315054054054055,13.8205,6.391891891891892,183,6
E07000042,Mid Devon,E54000037,Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),43,17.320372093023256,18.33,5.813953488372093,172,6
E07000043,North Devon,E54000037,Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),58,20.812465517241378,19.529,5.172413793103448,129,5
E07000044,South Hams,E54000037,Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),49,13.585408163265306,14.612,6.836734693877551,227,8
E07000045,Teignbridge,E54000037,Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),84,15.660142857142857,14.628,6.357142857142857,200,7
E07000046,Torridge,E54000037,Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),37,23.011891891891892,23.144,4.513513513513513,99,4
E07000047,West Devon,E54000037,Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),31,18.011741935483872,19.014,5.645161290322581,160,6
E07000061,Eastbourne,E54000053,Sussex Health and Care Partnership,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),61,21.88967213114754,21.344,4.9836065573770485,116,4
E07000062,Hastings,E54000053,Sussex Health and Care Partnership,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),53,34.58694339622642,29.25,3.226415094339623,13,1
