lad_code,lad_name,n_lsoa,mean_imd_score,median_imd_score,mean_lsoa_imd_decile,lad_imd_rank,lad_imd_decile
E07000198,Staffordshire Moorlands,59,15.205966101694916,12.229,6.593220338983051,204,7
E07000173,Gedling,77,14.96748051948052,12.51,6.688311688311688,205,7
E07000213,Spelthorne,60,14.863,13.61,6.6,206,7
E09000015,Harrow,137,14.860883211678832,13.901,6.554744525547444,207,7
E09000001,City of London,6,14.805,14.712499999999999,6.666666666666667,208,7
E07000067,Braintree,87,14.791563218390804,14.268,6.60919540229885,209,7
E07000134,North West Leicestershire,58,14.761672413793104,12.8125,6.758620689655173,210,7
E07000072,Epping Forest,78,14.7425,13.2055,6.628205128205129,211,7
E07000039,South Derbyshire,58,14.5235,11.7615,6.862068965517241,212,7
E07000177,Cherwell,93,14.474225806451612,12.88,6.860215053763441,213,7
E07000172,Broxtowe,71,14.454845070422534,12.262,6.887323943661972,214,7
E07000200,Babergh,54,14.442555555555556,12.886,6.685185185185186,215,7
E09000024,Merton,124,14.347330645161291,12.298,6.887096774193548,216,7
E07000078,Cheltenham,75,14.291706666666666,9.409,7.013333333333333,217,7
E06000049,Cheshire East,234,14.188901709401708,10.741,7.106837606837606,218,8
E07000225,Chichester,71,14.137478873239436,13.717,6.732394366197183,219,8
E07000098,Hertsmere,62,14.021645161290323,12.655999999999999,6.935483870967742,220,8
E07000074,Maldon,40,14.016925,12.9055,6.8,221,8
E07000241,Welwyn Hatfield,67,13.99989552238806,13.586,6.835820895522388,222,8
E09000006,Bromley,197,13.969446700507614,10.214,7.1065989847715745,223,8
E07000220,Rugby,61,13.907311475409836,12.234,6.934426229508196,224,8
E09000029,Sutton,121,13.820280991735537,11.154,7.099173553719008,225,8
E07000149,South Norfolk,81,13.63474074074074,12.823,6.925925925925926,226,8
E07000044,South Hams,49,13.585408163265306,14.612,6.836734693877551,227,8
E06000054,Wiltshire,285,13.566312280701753,11.949,7.007017543859648,228,8
E07000197,Stafford,80,13.542349999999999,11.1485,7.075,229,8
E07000132,Hinckley and Bosworth,66,13.518257575757575,11.291,7.090909090909091,230,8
E07000203,Mid Suffolk,56,13.388214285714286,13.304,7.071428571428571,231,8
E07000130,Charnwood,99,13.339868686868687,10.88,7.202020202020202,232,8
E07000141,South Kesteven,81,13.31706172839506,11.281,7.209876543209877,233,8
E07000196,South Staffordshire,68,13.198617647058825,11.657499999999999,7.088235294117648,234,8
E07000163,Craven,32,13.18478125,13.005500000000001,7.0625,235,8
E07000115,Tonbridge and Malling,72,13.16238888888889,11.837,7.208333333333334,236,8
E07000135,Oadby and Wigston,36,13.147611111111111,9.8605,7.222222222222222,237,8
