scenario,imd_decile,age_group,age_idx,adm_base,adm_cf,adm_diff,adm_attr_frac,death_base,death_cf,death_diff,death_attr_frac,adm_avoided_abs,death_avoided_abs
CF2: decile 5 πₐ,3,25 to 29,7,0.10013677357832215,0.08583616712985882,0.01430060644846333,14.28107371292334,0.004483928100312875,0.0038390926753323275,6.448354249805476e-4,14.38103846793513,6.001488095877548,0.27061594490887786
CF2: decile 5 πₐ,3,30 to 34,8,0.13073352985522146,0.10985013144063695,0.020883398414584517,15.974018629888956,0.006529344682631883,0.005479934333824685,0.0010494103488071982,16.072215510365677,8.754161807721955,0.4399048379855814
CF2: decile 5 πₐ,3,35 to 39,9,0.18022719109023652,0.1484651034385735,0.031762087651663024,17.623360525970977,0.009790977690858516,0.008056134203071906,0.0017348434877866095,17.71879726992301,12.135364159453006,0.662832925682823
CF2: decile 5 πₐ,3,40 to 44,10,0.25777925522994083,0.2069154973468351,0.05086375788310574,19.73151712217297,0.01595349005703648,0.012790762780691115,0.0031627272763453656,19.824673253551854,16.378881711605057,1.0184449223035772
CF2: decile 5 πₐ,3,45 to 49,11,0.3804951527322699,0.2977157521310618,0.08277940060120814,21.755704378040974,0.028776418150331388,0.02248907205719913,0.006287346093132258,21.84895305693163,25.96488920575034,1.9721119447681013
CF2: decile 5 πₐ,3,50 to 54,12,0.4287025105928543,0.32983341725167337,0.09886909334118094,23.06240129185493,0.03925126317752751,0.03016173223323242,0.009089530944295088,23.157295354252728,31.880452037325504,2.9309296314815816
CF2: decile 5 πₐ,3,55 to 59,13,0.6366568596314933,0.49029217894238547,0.14636468068910785,22.989570987081795,0.07258019377496487,0.05582477553878054,0.01675541823618433,23.08538647352549,43.947891419151645,5.031031379014248
CF2: decile 5 πₐ,3,60 to 64,14,1.1222858409989391,0.9052988281715411,0.21698701282739807,19.334380324557905,0.15710337958462126,0.12657382521178148,0.030529554372839773,19.43278015632726,53.69910418589928,7.555335684169565
CF2: decile 5 πₐ,3,65 to 69,15,1.1181806198931952,0.9331669294800461,0.18501369041314908,16.54595752435961,0.19001694315486997,0.15838900973992612,0.031627933414943854,16.644796453317355,37.529427003590676,6.4156237071967634
CF2: decile 5 πₐ,3,70 to 74,16,1.7091401406131588,1.4805388719977577,0.2286012686154011,13.37522086008639,0.3373128222769592,0.29184285468840676,0.04546996758855243,13.480059038852122,42.936505372096505,8.540291659183756
CF2: decile 5 πₐ,3,75+,17,3.7164180381680834,3.35523829843943,0.36117973972865336,9.71849065469201,0.8898554826754953,0.8024133931363605,0.08744208953913479,9.826549506244083,118.54540373123736,28.69999799907766
CF2: decile 5 πₐ,4,Under 1,1,0.00700095464759378,0.006675147108557281,3.258075390364986e-4,4.653758743437629,2.729448488584376e-4,2.5985879289457526e-4,1.3086055963862332e-5,4.7943956512069565,0.016139259323729897,6.482331604424807e-4
CF2: decile 5 πₐ,4,1 to 4,2,0.030231907516976242,0.028881337637606825,0.001350569879369417,4.467365741348032,0.0011786773222615284,0.0011243748325889026,5.4302489672625794e-5,4.607070030704892,0.28150009505559226,0.011318300695212162
